uid,service_name,department,phone_number,topic,user_type,tags,url,last_update,description
agent_dedicated_line_debt_management,Agent Dedicated Line: Debt Managment ,HMRC,0300 200 3887,Agent,Tax Agent,"HMRC, Tax Agent, Debt, Debt Managment",https://www.gov.uk/find-hmrc-contacts/agent-dedicated-line-debt-management,14/05/2025,Call HMRC if you're an authorised tax agent and need to discuss your client's debts.
agent_dedicated_line_tax_credits,Agent Dedicated Line: tax credits,HMRC,0345 300 3943,Agent,Tax Agent,"HMRC, Tax Agent, Tax Credits",https://www.gov.uk/find-hmrc-contacts/agent-dedicated-line-tax-credits,30/06/2025,Call HMRC for help with tax credits if you’re formally authorised to act on behalf of a client.
agent_dedicated_line_self_assessment_or_paye_for_individuals,Agent Dedicated Line: Self Assessment or PAYE for individuals,HMRC,0300 200 3311,Agent,Tax Agent,"HMRC, Tax Agent, PAYE, Pay As You Earn, Self Assessment",https://www.gov.uk/find-hmrc-contacts/agent-dedicated-line-self-assessment-or-paye-for-individuals,14/05/2025,Call HMRC about Self Assessment or PAYE if you’re formally authorised to act as an agent or tax adviser for your client.
bereavement_and_deceased_estate_enquiries,Bereavement and deceased estate: enquiries,HMRC,0300 322 9620,Bereavement,All Users,"HMRC, Death, Bereavement, Tax, Income tax, Capital Gains Tax",https://www.gov.uk/find-hmrc-contacts/bereavement-and-deceased-estate-enquiries,08/09/2025,"Call HMRC for help with tax after someone dies if you’re dealing with their: Income Tax and Capital Gains Tax before they died. Estate in the administration period, without sending a tax return"
deceased_estate_helpline,Deceased Estate Helpline,HMRC,0300 123 1071,Bereavement,All Users,"HMRC, Death, Bereavement, Estate",https://www.gov.uk/find-hmrc-contacts/bereavement-and-deceased-estate-enquiries,08/09/2025,"Call HMRC to get specialist advice on a deceased person’s estate, if you need to register for and send a tax return for the administration period."
Inheritance_tax_general_enquiries,Inheritance Tax: general enquiries,HMRC,0300 123 1072,Bereavement,All Users,"HMRC, Death, Bereavement, Inheritance Tax, General Enquiries",https://www.gov.uk/find-hmrc-contacts/inheritance-tax-general-enquiries,14/05/2025,"Call HMRC for advice on Inheritance Tax after someone has died. HMRC can help with: understanding your Inheritance Tax responsibilities, confirming the forms you need, getting paper copies of forms, completing Inheritance Tax forms"
child_benefit_enquiries,Child Benefit: enquiries,HMRC,0300 200 3100,Child Benefit and other benefits,All Users,"HMRC, Child, Child Benefits, Claiming Child Benefit, Stopping Child Benefit, Child Benefit General Enquries",https://www.gov.uk/find-hmrc-contacts/child-benefit-general-enquiries,22/08/2025,"Contact HMRC for information about eligibility, claiming and stopping Child Benefit, changing your personal details and making a complaint."
childcare_service_helpline,Childcare Service helpline,HMRC,0300 123 4097,Child Benefit and other benefits,All Users,"HMRC, Child, Child Benefits, Childcare, Childcare help, Childcare General Enquries",https://www.gov.uk/find-hmrc-contacts/childcare-service-helpline,14/05/2025,"Contact HMRC if you need help applying for Tax-Free Childcare, applying for free childcare if you're working or using your online childcare account."
guardians_allowance_enquiries,Guardian's Allowance: enquiries,HMRC,0300 200 3100,Child Benefit and other benefits,All Users,"HMRC, Child, Child Benefits, Guardian, Guardian Allowance, Guardian Allowance General Enquries",https://www.gov.uk/find-hmrc-contacts/guardians-allowance-enquiries,14/05/2025,Contact HMRC for help with Guardian's Allowance if you're bringing up a child whose parents have died.
pension_schemes_forms_and_returns,Pension schemes: forms and returns,HMRC,0300 200 3600,Pension Schemes,All Users,"HMRC, Pension, Pension Scheme, Pension Form, Pension Return",https://www.gov.uk/find-hmrc-contacts/pension-schemes-forms-and-returns,14/05/2025,Call HMRC for help with filing your pension scheme forms and returns online.
pension_schemes_general_enquiries,Pension schemes: general enquiries,HMRC,0300 123 1079,Pension Schemes,All Users,"HMRC, Pension, Pension Scheme, Pension Scheme, Pension Scheme Help, Pension Scheme General Enquiries",https://www.gov.uk/find-hmrc-contacts/pension-schemes-general-enquiries,14/05/2025,"Contact HMRC for help with pension scheme queries if you're a pension scheme administrator, pension provider or member of a pension scheme."
